ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,Total Credits,CGPA,Supplementary Appearances
25035A0202,,,,,6.45,20.0,20.0,6.45,
25035A0203,,,,,7.25,20.0,20.0,7.25,
25035A0204,,,,,7.2,20.0,20.0,7.2,
25035A0205,,,,,0.0,17.0,17.0,0.0,
25035A0206,,,,,5.98,20.0,20.0,5.98,
25035A0207,,,,,7.02,20.0,20.0,7.02,
25035A0208,,,,,6.22,20.0,20.0,6.22,
25035A0209,,,,,0.0,0.0,0.0,0.0,
25035A0210,,,,,8.02,20.0,20.0,8.02,
25035A0211,,,,,7.12,20.0,20.0,7.12,
25035A0212,,,,,6.5,20.0,20.0,6.5,
25035A0213,,,,,8.02,20.0,20.0,8.02,
25035A0214,,,,,0.0,0.0,0.0,0.0,
25035A0301,,,,,6.58,20.0,20.0,6.58,
25035A0302,,,,,7.08,20.0,20.0,7.08,
25035A0303,,,,,7.45,20.0,20.0,7.45,
25035A0304,,,,,0.0,18.0,18.0,0.0,
25035A0305,,,,,6.95,20.0,20.0,6.95,
25035A0306,,,,,0.0,17.0,17.0,0.0,
25035A0307,,,,,7.2,20.0,20.0,7.2,
25035A0308,,,,,8.1,20.0,20.0,8.1,
25035A0309,,,,,6.78,20.0,20.0,6.78,
25035A0310,,,,,6.85,20.0,20.0,6.85,
25035A0311,,,,,6.9,20.0,20.0,6.9,
25035A0312,,,,,7.1,20.0,20.0,7.1,
25035A0313,,,,,0.0,18.0,18.0,0.0,
25035A0314,,,,,7.35,20.0,20.0,7.35,
25035A0315,,,,,0.0,14.0,14.0,0.0,
25035A0316,,,,,6.5,20.0,20.0,6.5,
25035A0317,,,,,0.0,15.0,15.0,0.0,
25035A0318,,,,,7.35,20.0,20.0,7.35,
25035A0319,,,,,6.95,20.0,20.0,6.95,
25035A0320,,,,,7.35,20.0,20.0,7.35,
25035A0401,,,,,8.95,20.0,20.0,8.95,
25035A0402,,,,,7.3,20.0,20.0,7.3,
25035A0403,,,,,7.82,20.0,20.0,7.82,
25035A0404,,,,,6.7,20.0,20.0,6.7,
25035A0405,,,,,0.0,17.0,17.0,0.0,
25035A0406,,,,,7.9,20.0,20.0,7.9,
25035A0407,,,,,8.28,20.0,20.0,8.28,
25035A0408,,,,,7.28,20.0,20.0,7.28,
25035A0409,,,,,6.9,20.0,20.0,6.9,
25035A0410,,,,,6.25,20.0,20.0,6.25,
25035A0411,,,,,9.02,20.0,20.0,9.02,
25035A0412,,,,,8.28,20.0,20.0,8.28,
25035A0501,,,,,9.4,20.0,20.0,9.4,
25035A0502,,,,,8.02,20.0,20.0,8.02,
25035A0503,,,,,7.6,20.0,20.0,7.6,
25035A0504,,,,,0.0,14.0,14.0,0.0,
25035A0505,,,,,7.28,20.0,20.0,7.28,
25035A0506,,,,,0.0,17.0,17.0,0.0,
25035A0507,,,,,7.82,20.0,20.0,7.82,
25035A0508,,,,,8.65,20.0,20.0,8.65,
25035A0509,,,,,6.98,20.0,20.0,6.98,
25035A0510,,,,,0.0,17.0,17.0,0.0,
25035A0511,,,,,7.52,20.0,20.0,7.52,
25035A0512,,,,,8.5,20.0,20.0,8.5,
25035A0513,,,,,8.55,20.0,20.0,8.55,
25035A0514,,,,,8.05,20.0,20.0,8.05,
